2.800000000000000000e+01,4.200000000000000000e+01,7.400000000000000000e+01,8.339697918866341153e-01
2.000000000000000000e+01,3.100000000000000000e+01,5.200000000000000000e+01,7.706054030436267910e-01
2.700000000000000000e+01,4.100000000000000000e+01,6.000000000000000000e+01,8.196438818299610629e-01
1.800000000000000000e+01,2.600000000000000000e+01,3.500000000000000000e+01,7.755684357080571134e-01
2.900000000000000000e+01,4.400000000000000000e+01,6.800000000000000000e+01,5.052766747849104512e-01
4.400000000000000000e+01,6.600000000000000000e+01,1.010000000000000000e+02,6.795445475631813892e-01
3.200000000000000000e+01,4.400000000000000000e+01,6.100000000000000000e+01,6.699602200361336468e-01
6.000000000000000000e+01,8.200000000000000000e+01,1.390000000000000000e+02,9.594670078301975602e-01
2.100000000000000000e+01,3.500000000000000000e+01,5.700000000000000000e+01,7.211679737714452587e-01
2.400000000000000000e+01,3.900000000000000000e+01,6.700000000000000000e+01,8.054496554719186019e-01
